FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,sexe
George Sotiropoulos,5' 10",155 lbs.,71",Orthodox,1977-07-09,M
Greg Soto,5' 11",170 lbs.,73",Orthodox,1986-06-03,M
Alex Soto,5' 8",135 lbs.,--,Southpaw,1984-02-15,M
Joe Soto,5' 6",135 lbs.,65",Orthodox,1987-03-22,M
Mario Soto,6' 0",145 lbs.,--,,,M
Andre Soukhamthath,5' 9",135 lbs.,70",Orthodox,1988-10-23,M
Mario Sousa,6' 3",185 lbs.,79",Orthodox,1996-10-20,M
Bobby Southworth,6' 2",205 lbs.,--,Orthodox,1969-12-16,M
Jacare Souza,6' 1",185 lbs.,72",Orthodox,1979-12-07,M
Edimilson Souza,6' 0",145 lbs.,74",Orthodox,1984-10-17,M
Livinha Souza,5' 3",115 lbs.,63",Orthodox,1991-03-11,F
Bruno Souza,5' 10",145 lbs.,70",Orthodox,1996-03-07,M
Charon Spain,5' 9",155 lbs.,--,,1988-03-11,M
Chris Spang,6' 2",170 lbs.,--,Orthodox,1987-11-26,M
Andreas Spang,6' 1",185 lbs.,--,,1978-11-07,M
Ryan Spann,6' 5",205 lbs.,79",Orthodox,1991-08-24,M
Ron Sparks,6' 5",265 lbs.,--,,,M
Tommy Speer,5' 10",170 lbs.,71",Orthodox,1984-08-20,M
Patrick Speight,6' 1",170 lbs.,--,Orthodox,,M
Sean Spencer,5' 10",170 lbs.,74",Orthodox,1987-06-25,M
Felicia Spencer,5' 6",145 lbs.,68",Orthodox,1990-11-29,F
Sam Spengler,5' 11",185 lbs.,--,Orthodox,,M
Nick Sperling,--,135 lbs.,--,,,M
Mario Sperry,6' 2",205 lbs.,--,Orthodox,1966-09-28,M
Eric Spicely,6' 1",185 lbs.,73",Orthodox,1986-09-29,M
Waachiim Spiritwolf,5' 8",170 lbs.,--,,,M
Daniel Spitz,6' 7",245 lbs.,82",Orthodox,1990-07-31,M
Serghei Spivac,6' 3",260 lbs.,78",Orthodox,1995-01-24,M
Daniel Spohn,6' 4",205 lbs.,79",Southpaw,1984-10-12,M
Pete Spratt,5' 9",170 lbs.,--,Orthodox,1971-01-09,M
Austin Springer,5' 8",145 lbs.,71",Orthodox,1987-05-12,M
Georges St-Pierre,5' 11",185 lbs.,76",Orthodox,1981-05-19,M
Bobby Stack,5' 9",155 lbs.,--,Orthodox,,M
Andreas Stahl,5' 11",170 lbs.,--,Orthodox,1988-05-20,M
Ron Stallings,6' 2",170 lbs.,75",Southpaw,1983-01-25,M
Cody Stamann,5' 6",145 lbs.,64",Orthodox,1989-11-09,M
Cristina Stanciu,5' 3",115 lbs.,--,Orthodox,1994-03-29,F
Brian Stann,6' 1",205 lbs.,74",Orthodox,1980-09-24,M
Josh Stansbury,6' 2",205 lbs.,74",Orthodox,1984-11-19,M
Dion Staring,6' 1",235 lbs.,--,Orthodox,1978-06-09,M
Lucas Stark,--,155 lbs.,--,,,M
Clifford Starks,6' 0",185 lbs.,78",Orthodox,1981-04-25,M
Kalib Starnes,6' 3",185 lbs.,74",Orthodox,1975-01-06,M
Laureano Staropoli,6' 1",185 lbs.,71",Orthodox,1993-02-27,M
Damian Stasiak,5' 5",135 lbs.,70",Orthodox,1990-02-20,M
Adam Steele,--,170 lbs.,--,,,M
Dominique Steele,5' 10",170 lbs.,74",Orthodox,1988-01-27,M
Ricky Steele,5' 9",135 lbs.,74",Orthodox,1988-05-26,M
Eric Steenberg,--,155 lbs.,--,,1983-06-22,M
Steve Steinbeiss,6' 3",185 lbs.,75",Orthodox,1981-05-05,M
Ray Steinbeiss,5' 11",170 lbs.,--,Orthodox,1979-09-12,M
Dmitri Stepanov,6' 3",217 lbs.,--,Orthodox,,M
Jeremy Stephens,5' 9",145 lbs.,71",Orthodox,1986-05-25,M
Aljamain Sterling,5' 7",135 lbs.,71",Orthodox,1989-07-31,M
Marc Stevens,5' 9",155 lbs.,--,,,M
Joe Stevenson,5' 7",145 lbs.,70",Orthodox,1982-06-15,M
Maia Stevenson,5' 4",115 lbs.,62",Orthodox,1982-03-19,F
Luke Stewart,5' 11",170 lbs.,--,Orthodox,,M
Darren Stewart,6' 0",205 lbs.,74",Orthodox,1990-12-30,M
Kyle Stewart,6' 0",170 lbs.,76",Orthodox,1989-01-31,M
Alex Stiebling,6' 2",205 lbs.,--,Southpaw,,M
Tyler Stinson,6' 3",170 lbs.,--,,1986-01-17,M
Dan Stittgen,6' 1",170 lbs.,--,Orthodox,1980-11-17,M
Lazar Stojadinovic,5' 7",145 lbs.,68",Southpaw,1989-03-22,M
Denis Stojnic,6' 0",245 lbs.,--,Orthodox,1980-02-02,M
Julija Stoliarenko,5' 7",135 lbs.,66",,1993-04-08,F
Dustin Stoltzfus,6' 0",185 lbs.,75",Orthodox,1991-11-15,M
Niklas Stolze,6' 0",170 lbs.,75",Switch,1992-12-28,M
Ken Stone,5' 8",135 lbs.,71",Southpaw,1982-10-08,M
Ryan Stonitsch,5' 9",170 lbs.,--,Southpaw,1977-02-03,M
George Stork,5' 10",185 lbs.,--,,,M
Rick Story,5' 9",170 lbs.,71",Southpaw,1984-08-28,M
Darko Stosic,6' 0",205 lbs.,76",Orthodox,1992-02-09,M
Greg Stott,5' 7",220 lbs.,--,Southpaw,,M
Curtis Stout,6' 1",185 lbs.,--,Southpaw,1973-11-07,M
Sam Stout,5' 9",155 lbs.,70",Orthodox,1984-04-23,M
Tim Stout,5' 11",185 lbs.,--,,1979-02-09,M
Jesse Strader,5' 7",135 lbs.,70",Orthodox,1991-05-29,M
Gennaro Strangis,--,--,--,,,M
Dave Strasser,5' 10",170 lbs.,--,Orthodox,1969-07-13,M
Daniel Straus,5' 7",145 lbs.,71",,1984-07-27,M
Gerald Strebendt,5' 9",155 lbs.,--,Orthodox,1979-03-01,M
Sean Strickland,6' 1",185 lbs.,76",Orthodox,1991-02-27,M
Mark Striegl,5' 8",135 lbs.,70",Southpaw,1988-06-23,M
Hans Stringer,6' 3",205 lbs.,--,Orthodox,1987-07-06,M
Stefan Struve,6' 11",265 lbs.,84",Orthodox,1988-02-18,M
Josh Stuart,5' 9",160 lbs.,--,,,M
Mike Stumpf,5' 10",170 lbs.,--,,1986-08-01,M
Kyle Sturgeon,6' 3",225 lbs.,--,Switch,,M
Tatiana Suarez,5' 5",115 lbs.,66",Southpaw,1990-12-19,F
Masanori Suda,5' 9",183 lbs.,--,Orthodox,,M
Genki Sudo,5' 9",155 lbs.,--,Orthodox,1978-03-08,M
Lucasz Sudolski,6' 4",205 lbs.,75",Orthodox,1993-06-15,M
Daisuke Sugie,5' 6",160 lbs.,--,Orthodox,,M
Takashi Sugiura,5' 11",225 lbs.,--,Southpaw,1970-05-31,M
Naho Sugiyuma,5' 1",105 lbs.,--,,1978-02-03,F
George Sullivan,6' 0",170 lbs.,73",Orthodox,1981-03-13,M
Amar Suloev,5' 9",183 lbs.,--,Orthodox,1976-07-01,M
Magomed Sultanakhmedov,6' 2",185 lbs.,--,Southpaw,,M
Justin Sumter,6' 2",185 lbs.,80",Southpaw,1989-11-16,M
Sumudaerji,5' 8",125 lbs.,72",Southpaw,1996-01-20,M
Aji Susilo,5' 10",155 lbs.,--,,,M
Jason Suttie,6' 0",210 lbs.,--,Orthodox,1973-08-07,M
Joel Sutton,5' 11",205 lbs.,--,Orthodox,,M
Chad Sutton,6' 1",185 lbs.,--,,1982-08-07,M
Martin Svensson,6' 1",155 lbs.,--,,1985-04-25,M
Daniel Swain,5' 9",145 lbs.,70",Orthodox,1991-01-30,M
Cub Swanson,5' 8",145 lbs.,70",Orthodox,1983-11-02,M
Mike Swick,6' 1",170 lbs.,77",Orthodox,1979-06-19,M
Floyd Sword,6' 0",185 lbs.,--,Orthodox,1976-08-24,M
Bentley Syler,5' 4",125 lbs.,--,Orthodox,1982-12-22,M
Kevin Syler,5' 9",155 lbs.,71",Switch,1993-07-29,M
Leo Sylvest,5' 11",205 lbs.,--,Orthodox,1973-09-03,M
Tony Sylvester,6' 1",225 lbs.,--,Southpaw,1978-01-27,M
Tim Sylvia,6' 8",265 lbs.,80",Orthodox,1976-03-05,M
Osamu Tachihikari,6' 5",300 lbs.,--,Orthodox,,M
Amber Tackett,--,115 lbs.,--,,,F
Eugenio Tadeu,5' 8",160 lbs.,--,Orthodox,,M
Justin Tafa,6' 0",264 lbs.,74",Southpaw,1993-12-13,M
Junior Tafa,--,205 lbs.,--,,1996-09-21,M
Khalid Taha,5' 5",135 lbs.,69",Orthodox,1992-02-15,M
Joe Taimanglo,5' 4",135 lbs.,--,,1984-06-27,M
Mairbek Taisumov,5' 9",155 lbs.,73",Orthodox,1988-08-08,M
Nobuhiko Takada,6' 0",220 lbs.,--,Southpaw,1962-04-12,M
Yoshiki Takahashi,5' 11",199 lbs.,--,Southpaw,1969-03-13,M
Yoko Takahashi,5' 8",150 lbs.,--,,1973-04-20,M
Daiju Takase,6' 0",170 lbs.,--,Southpaw,1978-04-20,M
Hiroyuki Takaya,5' 6",139 lbs.,--,Orthodox,1977-06-10,M
Yoshihiro Takayama,6' 5",280 lbs.,--,Orthodox,1968-09-19,M
Makoto Takimoto,5' 7",205 lbs.,--,Southpaw,1979-12-08,M
Oleg Taktarov,6' 0",210 lbs.,--,Orthodox,1967-08-26,M
Nordine Taleb,6' 1",170 lbs.,74",Orthodox,1981-06-10,M
Tsuyoshi Tamakairiki,6' 0",220 lbs.,--,Orthodox,,M
Eli Tamez,5' 7",135 lbs.,--,,1985-08-22,M
Kiyoshi Tamura,5' 11",185 lbs.,--,Southpaw,1969-12-17,M
Akitoshi Tamura,5' 9",135 lbs.,70",Orthodox,1980-05-31,M
Issei Tamura,5' 5",135 lbs.,63",Orthodox,1984-03-12,M
Jason Tan,5' 10",170 lbs.,--,Orthodox,1981-12-17,M
Akihito Tanaka,--,--,--,Southpaw,,M
Michinori Tanaka,5' 5",135 lbs.,67",Orthodox,1990-10-04,M
Evan Tanner,6' 0",185 lbs.,74",Orthodox,1971-02-11,M
Manny Tapia,5' 5",135 lbs.,67",Orthodox,1981-03-14,M
Gary Tapusoa,5' 7",185 lbs.,--,,,M
Miesha Tate,5' 6",135 lbs.,65",Orthodox,1986-08-18,F
Deividas Taurosevicius,5' 9",145 lbs.,68",Southpaw,1977-08-28,M
Thiago Tavares,5' 7",145 lbs.,70",Orthodox,1984-11-08,M
Jeremy Tavares,--,135 lbs.,--,,,M
Brad Tavares,6' 1",185 lbs.,74",Orthodox,1987-12-21,M
Paul Taylor,6' 0",155 lbs.,72",Orthodox,1979-12-15,M
Jesse Taylor,6' 0",170 lbs.,73",Orthodox,1983-01-02,M
Torrance Taylor,5' 7",155 lbs.,--,,,M
Louis Taylor,5' 11",185 lbs.,--,Orthodox,1979-05-12,M
Anthony Taylor,5' 7",145 lbs.,--,,,M
Danielle Taylor,5' 0",115 lbs.,60",Orthodox,1989-10-25,F
J.T Taylor,5' 10",--,--,,,M
James Te Huna,6' 2",185 lbs.,75",Orthodox,1981-09-29,M
Shawn Teed,6' 5",265 lbs.,--,Orthodox,1992-02-13,M
Glover Teixeira,6' 2",205 lbs.,76",Orthodox,1979-10-28,M
John Teixeira,5' 7",145 lbs.,--,Orthodox,1986-11-18,M
Ewerton Teixeira,6' 1",242 lbs.,--,,1982-02-13,M
Tra Telligman,6' 2",233 lbs.,--,Orthodox,1965-02-07,M
Taneisha Tennant,5' 7",145 lbs.,70",Orthodox,1989-06-15,F
Herman Terrado,--,170 lbs.,--,,,M
Dave Terrel,5' 8",170 lbs.,--,Southpaw,1978-05-10,M
David Terrell,6' 1",185 lbs.,--,Southpaw,1978-01-09,M
James Terry,5' 10",170 lbs.,--,Orthodox,1981-03-16,M
Jeff Terry,6' 2",205 lbs.,--,,,M
David Teymur,5' 9",155 lbs.,73",Southpaw,1989-05-01,M
Daniel Teymur,5' 5",145 lbs.,69",Orthodox,1988-02-03,M
Motonobu Tezuka,5' 7",135 lbs.,--,Southpaw,1987-08-29,M
Jason Thacker,5' 10",185 lbs.,--,Orthodox,1975-08-18,M
Brandon Thatch,6' 2",170 lbs.,74",Switch,1985-07-11,M
Elias Theodorou,6' 1",185 lbs.,75",Orthodox,1988-05-31,M
Nik Theotikos,--,185 lbs.,--,Orthodox,,M
Paulo Thiago,5' 11",170 lbs.,74",Orthodox,1981-01-25,M
Din Thomas,5' 9",155 lbs.,--,Orthodox,1976-09-28,M
Ryan Thomas,6' 0",170 lbs.,--,Orthodox,1984-11-05,M
Noah Thomas,5' 9",135 lbs.,--,Orthodox,1981-03-27,M
Joel Thomas,5' 10",170 lbs.,--,,,M
Treston Thomison,5' 8",145 lbs.,--,,,M
Nick Thompson,6' 1",170 lbs.,74",Orthodox,1981-06-23,M
James Thompson,6' 5",265 lbs.,--,Orthodox,1978-12-16,M
Oli Thompson,6' 1",242 lbs.,--,Orthodox,1980-01-02,M
Stephen Thompson,6' 0",170 lbs.,75",Orthodox,1983-02-11,M
Josh Thomson,5' 10",155 lbs.,71",Orthodox,1978-09-21,M
Simeon Thoresen,6' 1",170 lbs.,79",Orthodox,1984-03-14,M
Josh Thornburg,6' 0",170 lbs.,--,,1984-05-24,M
Gleison Tibau,5' 10",155 lbs.,71",Southpaw,1983-10-07,M
Chris Tickle,5' 9",155 lbs.,--,,1982-02-01,M
Nolan Ticman,5' 6",125 lbs.,--,Orthodox,1988-05-17,M
Darren Till,6' 0",185 lbs.,74",Southpaw,1992-12-24,M
Brett Tillis,--,145 lbs.,--,,,M
Ryan Tobar,--,155 lbs.,--,,,M
Andrew Todhunter,6' 0",185 lbs.,--,Switch,1987-11-30,M
Dusko Todorovic,6' 1",185 lbs.,74",Orthodox,1994-05-19,M
Hideo Tokoro,5' 7",135 lbs.,--,Orthodox,1977-08-22,M
Anatoly Tokov,5' 10",185 lbs.,--,,1990-02-17,M
Kazuki Tokudome,5' 11",155 lbs.,73",Southpaw,1987-03-04,M
Tyler Toner,5' 8",145 lbs.,70",Orthodox,1983-03-31,M
James Toney,5' 9",220 lbs.,--,Orthodox,1968-08-24,M
Masanori Tonooka,5' 8",185 lbs.,--,Orthodox,,M
Carl Toomey,--,--,--,,,M
Ilia Topuria,5' 7",145 lbs.,69",Orthodox,1997-01-21,M
Anthony Torres,5' 8",170 lbs.,--,Orthodox,1978-07-31,M
Miguel Torres,5' 9",135 lbs.,76",Orthodox,1981-01-18,M
Ronys Torres,5' 7",155 lbs.,--,Orthodox,1975-08-13,M
Haven Torres,--,125 lbs.,--,,,M
Tecia Torres,5' 1",115 lbs.,60",Orthodox,1989-08-16,F
Alex Torres,5' 10",145 lbs.,--,Orthodox,1988-05-29,M
Abram Torres,5' 10",170 lbs.,--,,1982-10-29,M
Jose Torres,5' 4",125 lbs.,65",Orthodox,1992-08-02,M
Desmond Torres,5' 6",135 lbs.,69",Orthodox,1997-01-06,M
Manuel Torres,5' 10",155 lbs.,73",,1995-03-25,M
Salim Touahri,5' 10",170 lbs.,72",Orthodox,1989-09-28,M
Dequan Townsend,6' 3",205 lbs.,79",Orthodox,1986-05-11,M
Minoru Toyonaga,5' 11",195 lbs.,--,Southpaw,,M
Roberto Traven,6' 3",227 lbs.,--,Orthodox,1968-09-16,M
Bryan Travers,--,155 lbs.,--,,1983-04-11,M
Alexander Trevino,--,170 lbs.,--,,,M
Francisco Trevino,5' 9",155 lbs.,70",Orthodox,1981-12-17,M
Angelo Trevino,5' 11",170 lbs.,--,Switch,1993-06-10,M
Frank Trigg,5' 9",170 lbs.,71",Southpaw,1972-05-07,M
Francisco Trinaldo,5' 9",170 lbs.,70",Southpaw,1978-08-24,M
Damien Trites,5' 11",165 lbs.,--,,1979-08-23,M
Michael Trizano,5' 11",145 lbs.,71",Orthodox,1991-12-31,M
Antonio Trocoli,6' 5",205 lbs.,82",Orthodox,1990-12-06,M
Tor Troeng,6' 2",185 lbs.,--,Orthodox,1983-01-25,M
Aaron Trujillo,5' 5",125 lbs.,--,,,M
Reynaldo Trujillo,5' 9",155 lbs.,--,,1982-01-01,M
Abel Trujillo,5' 8",155 lbs.,70",Orthodox,1983-09-18,M
Arman Tsarukyan,5' 7",155 lbs.,72",Orthodox,1996-10-11,M
Chris Tuchscherer,6' 2",258 lbs.,76",Orthodox,1975-09-08,M
Jon Tuck,5' 11",155 lbs.,73",Orthodox,1984-08-28,M
Gavin Tucker,5' 6",145 lbs.,66",Southpaw,1986-06-17,M
Jumabieke Tuerxun,5' 7",135 lbs.,--,Orthodox,1986-04-17,M
Tom Tuggle,6' 2",250 lbs.,--,Orthodox,,M
Blair Tugman,6' 0",135 lbs.,--,,,M
Tai Tuivasa,6' 2",264 lbs.,75",Southpaw,1993-03-16,M
Zubaira Tukhugov,5' 8",145 lbs.,68",Orthodox,1991-01-15,M
Teila Tuli,6' 0",430 lbs.,--,Orthodox,1969-06-14,M
Albert Tumenov,5' 11",170 lbs.,73",Orthodox,1991-12-26,M
Maimaiti Tuohati,--,--,--,,,M
Ricky Turcios,5' 9",135 lbs.,71",Orthodox,1993-06-05,M
Anton Turkalj,6' 4",205 lbs.,--,,1996-06-10,M
Wellington Turman,6' 0",185 lbs.,72",Orthodox,1996-07-22,M
Courtney Turner,6' 2",170 lbs.,--,,,M
Jalin Turner,6' 3",155 lbs.,77",Southpaw,1995-05-18,M
Austin Tweedy,5' 9",155 lbs.,--,Orthodox,1990-09-25,M
Marcin Tybura,6' 3",249 lbs.,78",Orthodox,1985-11-09,M
Alberto Uda,6' 3",185 lbs.,--,Orthodox,1984-08-08,M
Ryuki Ueyama,5' 11",180 lbs.,--,Southpaw,1976-04-17,M
Christian Uflacker,5' 11",170 lbs.,--,,1985-08-04,M
Andy Uhrich,6' 0",170 lbs.,--,,,M
Tagir Ulanbekov,5' 7",125 lbs.,70",Southpaw,1991-08-07,M
Carlos Ulberg,6' 4",205 lbs.,77",Orthodox,1990-11-07,M
Gasan Umalatov,5' 11",170 lbs.,71",Orthodox,1982-09-11,M
Jeremy Umphries,--,160 lbs.,--,,,M
Zach Underwood,6' 2",185 lbs.,--,,,M
Caol Uno,5' 7",155 lbs.,70",Southpaw,1975-05-08,M
Kengo Ura,5' 9",165 lbs.,--,,1981-06-20,M
Logan Urban,6' 0",170 lbs.,72",Orthodox,1994-04-22,M
Hector Urbina,5' 11",170 lbs.,73",Orthodox,1987-09-17,M
Elias Urbina,6' 3",185 lbs.,77",Southpaw,1993-10-09,M
Gilbert Urbina,6' 3",185 lbs.,75",Orthodox,1996-04-05,M
Nick Urso,5' 6",125 lbs.,66",Southpaw,1985-09-26,M
Yasuhiro Urushitani,5' 5",125 lbs.,--,Southpaw,1976-09-08,M
Kamaru Usman,6' 0",170 lbs.,76",Switch,1987-05-11,M
Darren Uyenoyama,5' 6",125 lbs.,65",Orthodox,1979-10-15,M
Richie Vaculik,5' 6",125 lbs.,69",Orthodox,1983-06-19,M
Egidijus Valavicius,6' 0",200 lbs.,--,Orthodox,,M
Genaro Valdez,5' 9",155 lbs.,72",Orthodox,1992-01-16,M
Charlie Valencia,5' 3",135 lbs.,64",Orthodox,1974-10-31,M
Victor Valenzuela,5' 10",155 lbs.,--,,,M
Timur Valiev,5' 6",135 lbs.,67",Orthodox,1990-01-19,M
Victor Valimaki,6' 0",205 lbs.,--,Orthodox,,M
Andrew Valladerez,--,135 lbs.,--,,,M
Isaac Vallie-Flagg,5' 8",155 lbs.,70",Orthodox,1978-04-08,M
Mike van Arsdale,6' 2",205 lbs.,--,Switch,1965-06-20,M
Matt Van Buren,6' 5",205 lbs.,--,,1986-06-12,M
Brianna Van Buren,5' 0",115 lbs.,62",Southpaw,1993-08-04,F
Ron van Clief,5' 10",190 lbs.,--,Orthodox,1943-01-25,M
Lloyd Van Dams,6' 1",240 lbs.,--,Southpaw,1972-03-05,M
Cameron VanCamp,6' 2",155 lbs.,--,Switch,1993-04-27,M
Chad Vance,6' 0",185 lbs.,--,Orthodox,,M
Jared Vanderaa,6' 4",265 lbs.,80",Orthodox,1992-05-12,M
Austin Vanderford,5' 11",170 lbs.,--,Orthodox,1990-03-21,M
Lando Vannata,5' 9",155 lbs.,71",Orthodox,1992-03-14,M
Paige VanZant,5' 4",115 lbs.,65",Orthodox,1994-03-26,F
Paul Varelans,6' 8",300 lbs.,--,Orthodox,,M
Kazula Vargas,5' 8",155 lbs.,71",Southpaw,1985-08-15,M
Jamie Varner,5' 8",155 lbs.,71",Orthodox,1984-10-12,M
Guilherme Vasconcelos,6' 0",185 lbs.,--,Orthodox,1986-03-23,M
Linton Vassell,6' 4",205 lbs.,--,,1983-06-03,M
Billy Vaughan,5' 6",155 lbs.,--,,1983-12-02,M
Yuri Vaulin,6' 4",197 lbs.,--,Southpaw,,M
Javier Vazquez,5' 7",145 lbs.,69",Southpaw,1977-07-16,M
Manny Vazquez,5' 10",125 lbs.,72",Orthodox,1993-11-19,M
Matt Veach,5' 11",155 lbs.,--,Orthodox,1981-05-31,M
Joe Vedepo,6' 0",185 lbs.,--,Orthodox,,M
Kelly Velasco,5' 9",135 lbs.,--,Orthodox,1995-05-21,F
Cain Velasquez,6' 1",240 lbs.,77",Orthodox,1982-07-28,M
David Velasquez,5' 5",145 lbs.,--,Orthodox,,M
Bojan Velickovic,6' 0",170 lbs.,76",Southpaw,1988-12-18,M
Karlos Vemola,6' 0",185 lbs.,75",Orthodox,1985-07-03,M
Luigi Vendramini,5' 8",155 lbs.,73",Orthodox,1996-01-16,M
Jerrel Venetiaan,6' 1",195 lbs.,--,Orthodox,1971-03-09,M
Scott Ventimiglia,5' 11",185 lbs.,--,,1972-11-17,M
Brandon Vera,6' 3",230 lbs.,78",Orthodox,1977-10-10,M
Kerry Vera,5' 7",135 lbs.,--,Orthodox,,F
Marlon Vera,5' 8",135 lbs.,70",Switch,1992-12-02,M
Ernie Verdicia,5' 11",199 lbs.,--,Orthodox,,M
Joe Veres,5' 7",155 lbs.,--,Orthodox,1977-11-09,M
Nikolay Veretennikov,6' 1",170 lbs.,74",Orthodox,1989-12-22,M
CJ Vergara,5' 6",135 lbs.,68",Orthodox,1991-06-18,M
Renato Verissimo,6' 1",170 lbs.,--,Orthodox,1973-08-03,M
Bryan Vetell,6' 3",265 lbs.,--,Southpaw,1977-07-26,M
Marvin Vettori,6' 0",205 lbs.,74",Southpaw,1993-09-20,M
Hugo Viana,5' 6",135 lbs.,67",Orthodox,1982-09-26,M
Guilherme Viana,6' 4",205 lbs.,--,,,M
Polyana Viana,5' 5",115 lbs.,67",Orthodox,1992-06-14,F
Vitor Vianna,--,205 lbs.,--,Orthodox,,M
James Vick,6' 3",155 lbs.,76",Orthodox,1987-02-23,M
Milton Vieira,6' 0",145 lbs.,--,Orthodox,1978-10-04,M
Reginaldo Vieira,5' 7",135 lbs.,65",Orthodox,1982-11-26,M
Ketlen Vieira,5' 8",135 lbs.,68",Orthodox,1991-08-26,F
Rodolfo Vieira,6' 0",185 lbs.,73",Orthodox,1989-09-25,M
Steve Vigneault,5' 10",185 lbs.,--,Orthodox,1978-02-14,M
Alejandro Villalobos,5' 7",145 lbs.,--,,1979-10-26,M
DeMarco Villalona,5' 9",185 lbs.,--,,,M
Gian Villante,6' 3",230 lbs.,76",Orthodox,1985-08-18,M
Ike Villanueva,6' 1",205 lbs.,73",Orthodox,1984-04-04,M
Ruben Villareal,6' 4",265 lbs.,--,Orthodox,1970-05-01,M
Armando Villarreal,5' 7",135 lbs.,66",Southpaw,1989-08-08,M
Pablo Villaseca,5' 7",155 lbs.,--,,1987-01-26,M
Joey Villasenor,6' 0",185 lbs.,--,Orthodox,1975-10-17,M
Danillo Villefort,6' 1",185 lbs.,--,Orthodox,1983-05-08,M
Yuri Villefort,6' 0",170 lbs.,73",Orthodox,1991-03-23,M
Marcos Vinicius,5' 9",125 lbs.,--,Orthodox,1979-12-05,M
Brandon Visher,5' 6",135 lbs.,68",Orthodox,1984-05-06,M
Falaniko Vitale,5' 10",185 lbs.,--,Orthodox,1974-07-14,M
Cheyanne Vlismas,5' 3",115 lbs.,63",Switch,1995-06-25,F
Bobby Voelker,6' 0",170 lbs.,74",Orthodox,1979-04-26,M
Alexander Volkanovski,5' 6",145 lbs.,71",Orthodox,1988-09-29,M
Jacob Volkmann,5' 9",155 lbs.,71",Southpaw,1980-09-05,M
Alexander Volkov,6' 7",250 lbs.,80",Orthodox,1988-10-24,M
Jason Von Flue,6' 0",170 lbs.,--,Orthodox,1975-08-01,M
Milco Voorn,--,220 lbs.,--,Orthodox,,M
Mark Vorgeas,5' 10",135 lbs.,--,,,M
Igor Vovchanchyn,5' 8",205 lbs.,--,Orthodox,1973-08-06,M
James Wade,5' 10",205 lbs.,--,,,M
Chris Wade,5' 10",155 lbs.,70",Orthodox,1987-09-30,M
Neil Wain,5' 10",242 lbs.,--,Orthodox,,M
TJ Waldburger,5' 11",170 lbs.,75",Orthodox,1988-04-25,M
Chase Waldon,6' 1",185 lbs.,75",Orthodox,1986-09-19,M
Andre Walker,5' 11",205 lbs.,--,Southpaw,,M
Herschel Walker,6' 1",215 lbs.,--,Orthodox,1962-03-03,M
Donny Walker,5' 9",135 lbs.,--,,1980-01-04,M
Johnny Walker,6' 6",205 lbs.,82",Orthodox,1992-03-30,M
Ben Wall,5' 10",155 lbs.,--,Orthodox,1989-03-25,M
Crafton Wallace,6' 0",185 lbs.,--,Orthodox,1975-11-10,M
Rodney Wallace,5' 9",205 lbs.,72",Switch,1981-11-21,M
Jeremy Wallace,5' 9",--,--,,,M
Randall Wallace,5' 11",185 lbs.,73",Orthodox,1989-03-01,M
James Wallace,5' 10",155 lbs.,69",Orthodox,1992-11-17,M
Jim Wallhead,5' 10",170 lbs.,--,Orthodox,1984-03-14,M
Cory Walmsley,6' 0",205 lbs.,--,Orthodox,,M
Richard Walsh,6' 0",170 lbs.,73",Orthodox,1988-12-01,M
Patrick Walsh,5' 11",185 lbs.,--,,1988-11-28,M
Erick Wanderlei,6' 1",205 lbs.,--,Orthodox,,M
Dimitiri Wanderley,--,205 lbs.,--,Orthodox,,M
Andy Wang,5' 6",155 lbs.,--,Orthodox,1977-05-28,M
Sai Wang,6' 0",170 lbs.,--,Southpaw,1986-01-14,M
Anying Wang,6' 0",170 lbs.,--,Orthodox,1991-04-04,M
Curt Warburton,6' 0",155 lbs.,73",Orthodox,,M
Brennan Ward,5' 10",170 lbs.,71",,1988-06-28,M
Charlie Ward,5' 11",170 lbs.,--,Orthodox,1980-12-17,M
Terrion Ware,5' 8",135 lbs.,71",Orthodox,1986-03-31,M
Joe Warren,5' 6",135 lbs.,--,Orthodox,1976-10-31,M
Brian Warren,6' 0",185 lbs.,--,Orthodox,,M
Merritt Warren,5' 10",155 lbs.,--,Southpaw,,M
Idris Wasi,6' 0",186 lbs.,--,,1989-12-11,M
Kengo Watanabe,6' 4",220 lbs.,--,Orthodox,1976-01-31,M
Kazuhisa Watanabe,5' 6",139 lbs.,--,,1983-05-18,M
Ron Waterman,6' 2",280 lbs.,--,Orthodox,1965-11-23,M
Andy Waters,6' 0",170 lbs.,--,,,M
Dominic Waters,6' 1",170 lbs.,79",Orthodox,1989-04-11,M
Michelle Waterson,5' 3",115 lbs.,62",Orthodox,1986-01-06,F
Sam Watford,--,155 lbs.,--,,,M
Blake Watkins,--,185 lbs.,--,,,M
Kyle Watson,6' 0",155 lbs.,--,Southpaw,1979-08-09,M
Maka Watson,--,155 lbs.,--,,1984-09-22,M
Walel Watson,5' 11",135 lbs.,75",Orthodox,1984-07-16,M
Tom Watson,6' 1",185 lbs.,73",Orthodox,1982-07-13,M
Enrique Watson,--,185 lbs.,--,,,M
Brok Weaver,6' 0",155 lbs.,73",Southpaw,1991-12-05,M
Jonavin Webb,5' 10",170 lbs.,--,Orthodox,1989-04-28,M
Stephanie Webber,5' 6",135 lbs.,--,,,F
